
B10295760;Școala Gimnazială Liviu Rebreanu;8.50;-;-;8.90;-;-;-;-;-;-;8.70;
B9885811;Colegiul Naţional Elena Cuza;8.50;9.00;9.00;8.30;8.40;8.40;-;-;-;-;8.70;
B10269823;Şcoala Gimnazială nr. 117;8.50;9.15;9.15;8.25;-;-;-;-;-;-;8.70;
B11019085;Colegiul Naţional Mihai Eminescu;8.50;9.40;9.40;8.10;8.00;8.00;-;-;-;-;8.70;
B10615436;Liceul Teoretic Alexandru Vlahuţă;8.45;-;-;8.95;-;-;-;-;-;-;8.70;
B10327400;Şcoala Gimnazială nr. 135;8.45;-;-;8.95;-;-;-;-;-;-;8.70;
B10612163;Școala Gimnazială nr. 56;8.45;-;-;8.95;-;-;-;-;-;-;8.70;
B10684845;Liceul Teoretic Scoala Europeana Bucuresti;8.40;8.30;8.30;9.35;9.10;9.10;-;-;-;-;8.70;
B10770512;Liceul Teoretic Internațional de Informatică Bucuresti;8.40;-;-;9.00;-;-;-;-;-;-;8.70;
B10952542;Școala Gimnazială ”Sf. Silvestru”;8.40;8.60;8.60;8.80;-;-;-;-;-;-;8.70;
B10860126;Colegiul Naţional Mihai Eminescu;8.35;8.25;8.25;9.15;-;-;-;-;-;-;8.70;
B8116995;Şcoala Gimnazială Petre Ghelmez;8.35;-;-;9.05;-;-;-;-;-;-;8.70;
B10749599;Liceul Teoretic Jean Monnet;8.35;-;-;9.05;-;-;-;-;-;-;8.70;
B10325645;Şcoala Gimnazială nr. 135;8.35;-;-;9.05;-;-;-;-;-;-;8.70;
B10907264;Liceul Teoretic Nicolae Iorga;8.35;8.45;8.45;8.90;8.95;8.95;-;-;-;-;8.70;
B11110531;Şcoala Gimnazială nr. 190;8.30;8.10;8.10;9.30;-;-;-;-;-;-;8.70;
B10530411;Şcoala Gimnazială nr. 279;8.30;8.20;8.20;9.20;-;-;-;-;-;-;8.70;
B10706869;Şcoala Gimnazială Pia Brătianu;8.20;8.55;8.55;8.80;8.85;8.85;-;-;-;-;8.70;
B10504453;Şcoala Gimnazială nr. 169;8.15;-;-;9.25;-;-;-;-;-;-;8.70;
B11110320;Școala Gimnazială nr. 88;8.15;-;-;9.25;-;-;-;-;-;-;8.70;
B10706914;Şcoala Gimnazială Pia Brătianu;8.15;8.30;8.30;9.10;-;-;-;-;-;-;8.70;
B10800651;Școala Gimnazială nr. 51;8.10;-;-;9.30;-;-;-;-;-;-;8.70;
B10873379;Colegiul German Goethe;8.10;8.90;8.90;8.30;-;-;Limba germană;8.85;8.90;8.90;8.70;
B10627008;Liceul Teoretic Jean Monnet;8.05;8.20;8.20;9.20;-;-;-;-;-;-;8.70;
B7878604;Liceul Teoretic Genesis College;8.05;8.30;8.30;9.10;9.10;9.10;-;-;-;-;8.70;
